Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2
2019-08-1213:12:00.1780,4.27,-6.79,-1.43,5.02,-0.2,-8.42,-11.75,47.88,-93.37,11.735,1,1
2019-08-1213:12:00.2010,1.77,-1.26,1.55,5.02,-0.2,-8.42,-11.75,47.88,-37.63,11.74,1,1
2019-08-1213:12:00.3670,1.08,-0.76,1.2,5.02,-0.2,-8.42,-1.25,68.81,-33.94,11.801,1,1
2019-08-1213:12:00.3910,1.08,-0.76,1.2,5.02,-0.2,-8.42,4.44,72.25,-33.94,12.162,1,1
2019-08-1213:12:00.5440,1.08,-0.76,1.2,5.02,-0.2,-8.42,4.44,72.25,-33.94,12.232,1,1
2019-08-1213:12:00.7020,-1.32,-0.85,-0.96,5.02,-0.2,-8.42,4.44,72.25,-33.94,11.95,1,1
2019-08-1213:12:00.7250,0.2,-6.58,-2.67,5.02,-0.2,-8.42,4.44,72.25,-33.94,12.13,1,1
2019-08-1213:12:00.8850,-0.04,-0.8,-1.06,5.02,-0.2,-8.42,4.44,72.25,-33.94,12.089,1,1
2019-08-1213:12:00.9080,0.78,0.39,-1.53,1.3,-0.97,-7.04,4.44,72.25,-33.94,12.14,1,1
2019-08-1213:12:01.0660,0.78,0.39,-1.53,1.3,-0.97,-7.04,4.44,72.25,-33.94,11.995,1,1
2019-08-1213:12:01.0900,-1.52,1.47,1.84,1.3,-0.97,-7.04,4.44,72.25,-33.94,12.057,1,1
2019-08-1213:12:01.2470,0.33,-0.4,0.42,1.3,-0.97,-7.04,4.44,72.25,40.63,12.12,1,1
2019-08-1213:12:01.4080,0.27,0.05,-0.22,1.3,-0.97,-7.04,-37.94,81.12,109.56,12.115,1,1
2019-08-1213:12:01.4310,0.27,0.05,-0.22,1.3,-0.97,-7.04,-133.19,165.5,109.56,12.058,1,1
2019-08-1213:12:01.5960,0.27,0.05,-0.22,1.3,-0.97,-7.04,-133.19,165.5,109.56,12.26,1,1
2019-08-1213:12:01.6210,0.28,-0.67,0.31,1.3,-0.97,-7.04,-133.19,165.5,109.56,12.271,1,1
2019-08-1213:12:01.7720,-1.1,0.14,0.96,1.3,-0.97,-7.04,-133.19,165.5,109.56,12.212,1,1
2019-08-1213:12:01.7930,-1.53,0.78,1.08,1.3,-0.97,-7.04,-133.19,165.5,109.56,12.029,1,1
2019-08-1213:12:01.9530,-0.29,0.49,1.35,1.3,-0.97,-7.04,-133.19,165.5,109.56,12.002,1,1
2019-08-1213:12:01.9740,1.75,-1.1,1.5,-1.38,-4.38,-9.57,-133.19,165.5,109.56,11.998,1,1
2019-08-1213:12:02.1230,1.75,-1.1,1.5,-0.15,-3.77,-8.19,-133.19,165.5,109.56,11.998,1,1
2019-08-1213:12:02.2800,1.75,-1.1,1.5,-0.15,-3.77,-8.19,-133.19,165.5,-27.5,11.987,1,1
2019-08-1213:12:02.3040,0.08,0.26,0.22,-0.15,-3.77,-8.19,18.81,65.62,-24.56,11.982,1,1
2019-08-1213:12:02.4650,0.08,0.26,0.22,-0.15,-3.77,-8.19,18.5,67.75,-24.56,11.985,1,1
2019-08-1213:12:02.4870,0.08,0.26,0.22,-0.15,-3.77,-8.19,18.5,67.75,-24.56,11.986,1,1
2019-08-1213:12:02.6140,0.01,0.01,-0.06,-0.5,-3.8,-8.68,18.5,67.75,-24.56,11.986,1,1
2019-08-1213:12:02.6860,0.01,0.01,-0.06,-0.5,-3.8,-8.68,18.5,67.75,-24.56,12.013,1,1
2019-08-1213:12:02.7660,-0.08,0.07,-0.05,-0.5,-3.8,-8.68,18.5,67.75,-24.56,12.019,1,1
2019-08-1213:12:02.8560,-0.12,0.09,0.03,-0.5,-3.8,-8.68,18.5,67.75,-24.56,12.015,1,1
2019-08-1213:12:02.9460,-0.09,0.07,0.1,-0.34,-3.57,-8.91,18.5,67.75,-24.56,12.018,1,1
2019-08-1213:12:03.0660,-0.09,0.07,0.1,-0.34,-3.57,-8.91,18.5,67.75,-24.56,12.014,1,1
2019-08-1213:12:03.1560,-0.01,0,0.04,-0.34,-3.57,-8.91,18.5,67.75,-24.56,12.006,1,1
2019-08-1213:12:03.2760,0,0.02,0,-0.34,-3.57,-8.91,18.5,67.75,-20.62,12.05,1,1
2019-08-1213:12:03.3660,-0.21,0.13,0.05,-0.34,-3.57,-8.91,16.19,63.81,-20.62,12.25,1,1
2019-08-1213:12:03.4560,-0.21,0.13,0.05,0.65,-2.08,-8.3,16.19,63.81,-20.62,12.247,1,1
2019-08-1213:12:03.5460,-0.21,0.13,0.05,0.65,-2.08,-8.3,16.19,63.81,-20.62,12.086,1,1
2019-08-1213:12:03.6660,-1.79,0.93,0.45,0.65,-2.08,-8.3,16.19,63.81,-20.62,12.025,1,1
2019-08-1213:12:03.7560,-2.12,1.46,0.88,0.65,-2.08,-8.3,16.19,63.81,-20.62,11.945,1,1
2019-08-1213:12:03.8760,-2.49,1.71,1.13,0.65,-2.08,-8.3,16.19,63.81,-20.62,12.008,1,1
2019-08-1213:12:03.9360,-0.9,0.78,0.7,5.67,4.16,-6.62,16.19,63.81,-20.62,11.881,1,1
2019-08-1213:12:04.0560,-0.9,0.78,0.7,5.67,4.16,-6.62,16.19,63.81,-20.62,11.9,1,1
2019-08-1213:12:04.1460,0.08,-0.51,-0.43,5.67,4.16,-6.62,16.19,63.81,-20.62,12.06,1,1
2019-08-1213:12:04.2660,-0.02,-0.3,-0.25,5.67,4.16,-6.62,16.19,63.81,7.94,12.119,1,1
2019-08-1213:12:04.3560,1.04,-1.45,-0.98,5.67,4.16,-6.62,6.94,27.56,7.94,12.18,1,1
2019-08-1213:12:04.4460,1.04,-1.45,-0.98,0.12,1.98,-9.53,6.94,27.56,7.94,12.201,1,1
