Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2,CAP_STATUS
2019-08-1311:13:01.1640,-0.21,0.2,-1.07,-0.96,3.3,-4.8,-36.13,14.75,34.06,13.977,0,1,ON,
2019-08-1311:13:01.3060,0.33,0.28,0.64,-0.96,3.3,-4.8,-36.13,14.75,34.06,14.097,0,1,ON,
2019-08-1311:13:01.4450,0.23,-0.63,1.16,-0.96,3.3,-4.8,-36.13,14.75,34.06,14.102,0,1,ON,
2019-08-1311:13:01.4590,0.23,-0.63,1.16,-0.96,3.3,-4.8,-22.81,27.06,43.75,14.122,0,1,ON,
2019-08-1311:13:01.5920,0.23,-0.63,1.16,2.68,-1.38,-9.82,-22.81,27.06,43.75,14.136,0,1,ON,
2019-08-1311:13:01.7350,0.2,-0.03,0.12,2.68,-1.38,-9.82,-22.81,27.06,43.75,14.14,0,1,ON,
2019-08-1311:13:01.7480,-0.08,-0.31,-0.12,2.68,-1.38,-9.82,-22.81,27.06,43.75,14.153,0,1,ON,
2019-08-1311:13:01.8900,-0.08,-0.31,-0.12,1.72,-1.53,-9.21,-22.81,27.06,43.75,14.22,0,1,ON,
2019-08-1311:13:02.0230,0.26,-0.11,0.09,1.72,-1.53,-9.21,-22.81,27.06,43.75,14.155,0,1,ON,
2019-08-1311:13:02.1640,0.13,0.27,0.26,1.72,-1.53,-9.21,-22.81,27.06,43.75,14.188,0,1,ON,
2019-08-1311:13:02.1770,0.19,0.58,0.05,1.72,-1.53,-9.21,-22.81,27.06,43.75,14.05,0,1,ON,
2019-08-1311:13:02.3200,1.4,-1.94,0.62,1.72,-1.53,-9.21,-22.81,27.06,43.75,14.15,0,1,ON,
2019-08-1311:13:02.3320,3.41,-1.03,2.16,1.72,-1.53,-9.21,-22.81,27.06,43.75,13.683,0,1,ON,
2019-08-1311:13:02.4730,-0.4,-0.46,-2.68,1.72,-1.53,-9.21,-22.81,27.06,43.75,13.576,0,1,ON,
2019-08-1311:13:02.6080,-3.75,-1.25,-3.26,1.72,-1.53,-9.21,-22.81,27.06,43.75,14.271,0,1,ON,
2019-08-1311:13:02.7470,-10.64,-5.14,-2.11,1.72,-1.53,-9.21,-22.81,27.06,43.75,13.431,0,1,ON,
2019-08-1311:13:02.7610,-4.5,-4.9,3.25,1.72,-1.53,-9.21,-22.81,27.06,43.75,13.499,0,1,ON,
2019-08-1311:13:02.8950,3.85,-1.06,5.32,1.72,-1.53,-9.21,-22.81,27.06,43.75,13.63,0,1,ON,
2019-08-1311:13:03.0290,3.85,-1.06,5.32,1.14,8.09,-11.32,-22.81,27.06,43.75,14.026,0,1,ON,
2019-08-1311:13:03.0430,6.51,-0.95,1.69,1.14,8.09,-11.32,-22.81,27.06,43.75,13.791,0,1,ON,
2019-08-1311:13:03.1830,5.67,0.74,0.27,1.14,8.09,-11.32,-22.81,27.06,43.75,12.48,0,1,ON,
2019-08-1311:13:03.3200,4.72,-2.08,-2.39,1.14,8.09,-11.32,-22.81,27.06,43.75,11.827,0,1,ON,
2019-08-1311:13:03.3320,1.52,-3.63,-3.21,1.14,8.09,-11.32,-22.81,27.06,43.75,11.392,0,1,ON,
2019-08-1311:13:03.4670,-0.44,-1.05,-0.79,1.14,8.09,-11.32,-22.81,27.06,43.75,13.053,0,1,ON,
2019-08-1311:13:03.6010,-1.09,-1.24,-0.4,1.14,8.09,-11.32,-22.81,27.06,43.75,13.064,0,1,ON,
2019-08-1311:13:03.7430,-0.85,-1.36,-0.96,1.14,8.09,-11.32,-22.81,27.06,43.75,13.471,0,1,ON,
2019-08-1311:13:03.7570,-0.85,-1.36,-0.96,1.14,8.09,-11.32,-47.94,16.62,17.81,13.755,0,1,ON,
2019-08-1311:13:03.8980,-0.6,0.08,-0.88,1.14,8.09,-11.32,-47.94,16.62,17.81,13.807,0,1,ON,
2019-08-1311:13:03.9120,-0.6,0.08,-0.88,1.14,8.09,-11.32,-49.44,6.5,18.75,13.709,0,1,ON,
2019-08-1311:13:04.0440,-0.95,0.38,0.96,1.14,8.09,-11.32,-49.44,6.5,18.75,13.71,0,1,ON,
2019-08-1311:13:04.1850,-1.62,1.31,2.38,1.14,8.09,-11.32,-49.44,6.5,18.75,13.538,0,1,ON,
2019-08-1311:13:04.3220,-1.62,1.31,2.38,7.2,-2.79,-4.07,-49.44,6.5,18.75,13.501,0,1,ON,
2019-08-1311:13:04.3350,-1.62,1.31,2.38,7.2,-2.79,-4.07,-49.38,18.19,10.94,13.844,0,1,ON,
2019-08-1311:13:04.4730,-0.45,-2.66,3.74,7.2,-2.79,-4.07,-49.38,18.19,10.94,13.997,0,1,ON,
2019-08-1311:13:04.6170,-0.45,-2.66,3.74,2.41,-2.83,-6.37,-49.38,18.19,10.94,14.018,0,1,ON,
2019-08-1311:13:04.6300,-0.01,-0.83,1.12,2.41,-2.83,-6.37,-49.38,18.19,10.94,13.964,0,1,ON,
2019-08-1311:13:04.7720,-0.01,-0.83,1.12,2.41,-2.83,-6.37,-10.63,37.31,31.12,14.07,0,1,ON,
2019-08-1311:13:04.9210,-0.01,-0.83,1.12,2.41,-2.83,-6.37,-15.75,32.75,37.06,14.165,0,1,ON,
2019-08-1311:13:04.9330,-0.01,-0.83,1.12,2.41,-2.83,-6.37,-30.31,14.44,35.88,14.051,0,1,ON,
2019-08-1311:13:05.0740,-0.01,-0.83,1.12,2.41,-2.83,-6.37,-34.13,9.75,37.56,14.11,0,1,ON,
2019-08-1311:13:05.2210,0.54,-1.01,-0.41,2.41,-2.83,-6.37,-34.13,9.75,37.56,14.089,0,1,ON,
2019-08-1311:13:05.2340,0.54,-1.01,-0.41,4.63,-1.49,-13.27,-34.13,9.75,37.56,14.246,0,1,ON,
2019-08-1311:13:05.3740,0.54,-1.01,-0.41,0.88,0.2,-10.51,-34.13,9.75,37.56,14.213,0,1,ON,
2019-08-1311:13:05.5210,0.22,-0.27,4.01,0.88,0.2,-10.51,-34.13,9.75,37.56,14.113,0,1,ON,
2019-08-1311:13:05.5340,0.22,-0.27,4.01,-0.81,-3.75,-7.18,-34.13,9.75,37.56,14.17,0,1,ON,
